Product,Small Description,Model Code,Model Name,Number of inputs,Standard,Sound field,Polarization,Sensitivity,Lower frequency,Higher frequency,Lower dynamic range,Higher dynamic range,Dimension (length x width x depth),Weight,Degree of protection,Display,Operating time on battery,Measurement storage,Communication interface,Analysis software
Noise Partner,"This sound level meter platform houses the solution that gets your job done faster and easier. Controlled via smart-device apps tailored to your task, get your work done with confidence.",-2245-I--,SLM 2245 System Integrators,Single channel,"IEC 61672, ANSI S1.4, Other national standards","Free field, Diffuse field",None,50 mV/Pa,6 Hz,20 kHz,23.2 dB,140.3 dB,260 x 68 x 37 mm,370 g,IP55,240 x 320 dot,13 h,16 GB,USB,Frequency analysis
Noise Partner,"This sound level meter platform houses the solution that gets your job done faster and easier. Controlled via smart-device apps tailored to your task, get your work done with confidence.",-2245-N-I-,"SLM 2245 Noise Partner,SystemIntegrators",Single channel,"IEC 61672, ANSI S1.4, Other national standards","Free field, Diffuse field",None,50 mV/Pa,6 Hz,20 kHz,23.2 dB,140.3 dB,260 x 68 x 37 mm,370 g,IP55,240 x 320 dot,13 h,16 GB,USB,Frequency analysis
Noise Partner,"This sound level meter platform houses the solution that gets your job done faster and easier. Controlled via smart-device apps tailored to your task, get your work done with confidence.",-2245-N-S-,SLM 2245 Noise Partner,Single channel,"IEC 61672, ANSI S1.4, Other national standards","Free field, Diffuse field",None,50 mV/Pa,6 Hz,20 kHz,23.2 dB,140.3 dB,260 x 68 x 37 mm,370 g,IP55,240 x 320 dot,13 h,16 GB,USB,Frequency analysis
Noise Partner,"This sound level meter platform houses the solution that gets your job done faster and easier. Controlled via smart-device apps tailored to your task, get your work done with confidence.",-2245-N-SC-,SLM 2245 Noise Partner w. 4231,Single channel,"IEC 61672, ANSI S1.4, Other national standards","Free field, Diffuse field",None,50 mV/Pa,6 Hz,20 kHz,23.2 dB,140.3 dB,260 x 68 x 37 mm,370 g,IP55,240 x 320 dot,13 h,16 GB,USB,Frequency analysis
Enviro Noise Partner,This solution is all you need to easily conduct and report on environmental noise surveys to ensure regulations compliance and investigate noise complaints.,-2245-E-S-,SLM 2245 Enviro Noise Partner,Single channel,"IEC 61672, ANSI S1.4, Other national standards","Free field, Diffuse field",None,50 mV/Pa,6 Hz,20 kHz,23.2 dB,140.3 dB,260 x 68 x 37 mm,370 g,IP55,240 x 320 dot,13 h,16 GB,USB,Frequency analysis
Enviro Noise Partner,This solution is all you need to easily conduct and report on environmental noise surveys to ensure regulations compliance and investigate noise complaints.,-2245-E-SC-,SLM 2245 Enviro Noise Partner w. 4231,Single channel,"IEC 61672, ANSI S1.4, Other national standards","Free field, Diffuse field",None,50 mV/Pa,6 Hz,20 kHz,23.2 dB,140.3 dB,260 x 68 x 37 mm,370 g,IP55,240 x 320 dot,13 h,16 GB,USB,Frequency analysis
Work Noise Partner,"This SLM-based survey solution simplifies your job of ensuring standards compliance and employee safety, including the data for selecting hearing protection.",-2245-W-S-,SLM 2245 Work Noise Partner,Single channel,"IEC 61672, ANSI S1.4, Other national standards","Free field, Diffuse field",None,50 mV/Pa,6 Hz,20 kHz,23.2 dB,140.3 dB,260 x 68 x 37 mm,370 g,IP55,240 x 320 dot,13 h,16 GB,USB,Frequency analysis
Work Noise Partner,"This SLM-based survey solution simplifies your job of ensuring standards compliance and employee safety, including the data for selecting hearing protection.",-2245-W-SC-,SLM 2245 Work Noise Partner w. 4231,Single channel,"IEC 61672, ANSI S1.4, Other national standards","Free field, Diffuse field",None,50 mV/Pa,6 Hz,20 kHz,23.2 dB,140.3 dB,260 x 68 x 37 mm,370 g,IP55,240 x 320 dot,13 h,16 GB,USB,Frequency analysis
Exhaust Noise Partner,Exhaust noise measurement solution for testing light vehicles and noise level enforcement with a streamlined workflow and toolset that minimizes the risk of error while still requiring minimal training.,-2245-X-I-,SLM 2245 Exhaust Noise Partner SI,Single channel,"IEC 61672, ANSI S1.4, Other national standards","Free field, Diffuse field",None,50 mV/Pa,6 Hz,20 kHz,23.2 dB,140.3 dB,260 x 68 x 37 mm,370 g,IP55,240 x 320 dot,13 h,16 GB,USB,Frequency analysis
Exhaust Noise Partner,Exhaust noise measurement solution for testing light vehicles and noise level enforcement with a streamlined workflow and toolset that minimizes the risk of error while still requiring minimal training.,-2245-X-L-,SLM 2245 Exhaust Noise Partner,Single channel,"IEC 61672, ANSI S1.4, Other national standards","Free field, Diffuse field",None,50 mV/Pa,6 Hz,20 kHz,23.2 dB,140.3 dB,260 x 68 x 37 mm,370 g,IP55,240 x 320 dot,13 h,16 GB,USB,Frequency analysis
Exhaust Noise Partner,Exhaust noise measurement solution for testing light vehicles and noise level enforcement with a streamlined workflow and toolset that minimizes the risk of error while still requiring minimal training.,-2245-X-LC-,SLM 2245 Exhaust Noise Partner w. 4231,Single channel,"IEC 61672, ANSI S1.4, Other national standards","Free field, Diffuse field",None,50 mV/Pa,6 Hz,20 kHz,23.2 dB,140.3 dB,260 x 68 x 37 mm,370 g,IP55,240 x 320 dot,13 h,16 GB,USB,Frequency analysis
Product Noise Partner,"This sound level meter-based product noise measurement solution combines ease of use with reliable, valid data. Controlled via smart-device apps tailored to your product noise measurement task, B&K 2245 with Product Noise Partner gets the job done.",-2245-P-S-,SLM 2245 Product Noise Partner,Single channel,"IEC 61672, ANSI S1.4, Other national standards","Free field, Diffuse field",None,50 mV/Pa,6 Hz,20 kHz,23.2 dB,140.3 dB,260 x 68 x 37 mm,370 g,IP55,240 x 320 dot,13 h,16 GB,USB,Frequency analysis
Product Noise Partner,"This sound level meter-based product noise measurement solution combines ease of use with reliable, valid data. Controlled via smart-device apps tailored to your product noise measurement task, B&K 2245 with Product Noise Partner gets the job done.",-2245-P-SC-,SLM 2245 Product Noise Partner w. 4231,Single channel,"IEC 61672, ANSI S1.4, Other national standards","Free field, Diffuse field",None,50 mV/Pa,6 Hz,20 kHz,23.2 dB,140.3 dB,260 x 68 x 37 mm,370 g,IP55,240 x 320 dot,13 h,16 GB,USB,Frequency analysis
